日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2017-10-25,'000001,平安银行,11.27,11.37,11.25,11.36,11.39,-0.12,-1.0536,0.2474,41857360,472708177.86,1.93510536095e+11,1.90665941572e+11,17815
2017-10-24,'000001,平安银行,11.39,11.42,11.18,11.2,11.19,0.2,1.7873,0.3658,61887194,700896871.75,1.95570985459e+11,1.92696102441e+11,21816
2017-10-23,'000001,平安银行,11.19,11.4,11.15,11.39,11.48,-0.29,-2.5261,0.6351,107446502,1206888281.81,1.92136903186e+11,1.89312500993e+11,39799
2017-10-20,'000001,平安银行,11.48,11.59,11.41,11.59,11.63,-0.15,-1.2898,0.273,46180808,529747048.16,1.97116322482e+11,1.94218723092e+11,16027
2017-10-19,'000001,平安银行,11.63,11.72,11.57,11.64,11.69,-0.06,-0.5133,0.4272,72276482,841546799.4,1.99691884187e+11,1.96756424178e+11,20665
2017-10-18,'000001,平安银行,11.69,11.7,11.51,11.53,11.51,0.18,1.5639,0.5151,87136536,1011050927.7,2.00722108869e+11,1.97771504612e+11,23940
2017-10-17,'000001,平安银行,11.51,11.65,11.48,11.62,11.59,-0.08,-0.6903,0.2993,50637234,585333998.33,1.97631434823e+11,1.94726263309e+11,16794
2017-10-16,'000001,平安银行,11.59,11.6,11.29,11.36,11.36,0.23,2.0246,0.6125,103625064,1190724204.76,1.99005067732e+11,1.96079703888e+11,32427
2017-10-13,'000001,平安银行,11.36,11.56,11.25,11.56,11.55,-0.19,-1.645,0.4359,73737596,839662734.96,1.95055873118e+11,1.92188562224e+11,24736
2017-10-12,'000001,平安银行,11.55,11.58,11.47,11.54,11.53,0.02,0.1735,0.3417,57806531,667148377.69,1.98318251277e+11,1.95402983599e+11,16315
2017-10-11,'000001,平安银行,11.53,11.58,11.34,11.48,11.47,0.06,0.5231,0.389,65807758,756203405.4,1.9797484305e+11,1.95064623454e+11,21664
2017-10-10,'000001,平安银行,11.47,11.5,11.33,11.33,11.3,0.17,1.5044,0.4421,74792530,853665849.11,1.96944618368e+11,1.9404954302e+11,19997
2017-10-09,'000001,平安银行,11.3,11.64,11.26,11.57,11.11,0.19,1.7102,0.7833,132522731,1520609511.57,1.94025648436e+11,1.91173481789e+11,35235
2017-09-29,'000001,平安银行,11.11,11.16,10.86,10.92,10.88,0.23,2.114,0.4033,68228010,753852534.72,1.90763270276e+11,1.87959060414e+11,22289
2017-09-28,'000001,平安银行,10.88,10.98,10.82,10.98,10.93,-0.05,-0.4575,0.3057,51722002,563485127.39,1.86814075662e+11,1.84067918749e+11,22149
2017-09-27,'000001,平安银行,10.93,11.08,10.9,11.01,11.05,-0.12,-1.086,0.4298,72718820,798377280.05,1.8767259623e+11,1.84913819111e+11,28341
2017-09-26,'000001,平安银行,11.05,11.3,10.96,11.26,11.29,-0.24,-2.1258,0.5719,96746090,1074228193.8,1.89733045594e+11,1.8694397998e+11,30956
2017-09-25,'000001,平安银行,11.29,11.45,11.18,11.44,11.44,-0.15,-1.3112,0.3147,53239104,602270302.75,1.93853944322e+11,1.91004301717e+11,16450
2017-09-22,'000001,平安银行,11.44,11.52,11.31,11.43,11.46,-0.02,-0.1745,0.3511,59392762,677622489.51,1.96429506027e+11,1.93542002803e+11,18157
2017-09-21,'000001,平安银行,11.46,11.51,11.2,11.26,11.29,0.17,1.5058,0.4093,69240793,788605300.87,1.96772914254e+11,1.93880362947e+11,23926
2017-09-20,'000001,平安银行,11.29,11.37,11.05,11.14,11.13,0.16,1.4376,0.4653,78715469,884640964.21,1.93853944322e+11,1.91004301717e+11,24141
2017-09-19,'000001,平安银行,11.13,11.34,11.08,11.25,11.25,-0.12,-1.0667,0.4517,76421262,853815999.65,1.91106678504e+11,1.88297420559e+11,26241
2017-09-18,'000001,平安银行,11.25,11.32,11.2,11.25,11.29,-0.04,-0.3543,0.3592,60761296,684223023.19,1.93167127868e+11,1.90327581428e+11,17592
2017-09-15,'000001,平安银行,11.29,11.32,11.15,11.29,11.32,-0.03,-0.265,0.3819,64609481,726061100.45,1.93853944322e+11,1.91004301717e+11,21207
2017-09-14,'000001,平安银行,11.32,11.59,11.24,11.43,11.43,-0.11,-0.9624,0.522,88308777,1005775578.24,1.94369056663e+11,1.91511841934e+11,23141
2017-09-13,'000001,平安银行,11.43,11.54,11.34,11.49,11.54,-0.11,-0.9532,0.395,66823742,765028184.64,1.96257801913e+11,1.9337282273e+11,14650
2017-09-12,'000001,平安银行,11.54,11.54,11.27,11.38,11.38,0.16,1.406,0.5002,84618342,962032172.14,1.98146547164e+11,1.95233803527e+11,26003
2017-09-11,'000001,平安银行,11.38,11.69,11.3,11.54,11.49,-0.11,-0.9574,0.4134,69947275,801825014.63,1.95399281345e+11,1.92526922368e+11,24309
2017-09-08,'000001,平安银行,11.49,11.64,11.38,11.46,11.44,0.05,0.4371,0.2845,48127615,553644520.36,1.97288026595e+11,1.94387903165e+11,21817
2017-09-07,'000001,平安银行,11.44,11.75,11.39,11.65,11.7,-0.26,-2.2222,0.363,61418724,711036421.43,1.96429506027e+11,1.93542002803e+11,24858
2017-09-06,'000001,平安银行,11.7,11.88,11.48,11.59,11.64,0.06,0.5155,0.4679,79162155,925519043.82,2.00893812982e+11,1.97940684685e+11,27507
2017-09-05,'000001,平安银行,11.64,11.94,11.6,11.68,11.72,-0.08,-0.6826,0.761,128751876,1513759541.19,1.998635883e+11,1.9692560425e+11,42570
2017-09-04,'000001,平安银行,11.72,11.72,11.17,11.18,11.21,0.51,4.5495,0.7993,135232557,1551875033.9,2.0123722121e+11,1.98279044829e+11,42731
2017-09-01,'000001,平安银行,11.21,11.39,11.15,11.28,11.28,-0.07,-0.6206,0.5674,95997689,1080996319.27,1.92480311413e+11,1.89650861138e+11,27858
2017-08-31,'000001,平安银行,11.28,11.44,11.15,11.39,11.43,-0.15,-1.3123,0.6808,115178646,1297730595.72,1.93682240208e+11,1.90835121645e+11,33551
2017-08-30,'000001,平安银行,11.43,11.7,11.35,11.68,11.67,-0.24,-2.0566,0.6482,109667476,1264128140.68,1.96257801913e+11,1.9337282273e+11,33554
2017-08-29,'000001,平安银行,11.67,11.74,11.28,11.3,11.35,0.32,2.8194,0.8027,135798373,1569230034.16,2.00378700641e+11,1.97433144467e+11,49124
2017-08-28,'000001,平安银行,11.35,11.54,11.1,11.1,11.11,0.24,2.1602,0.9481,160393832,1828380086.0,1.94884169004e+11,1.92019382151e+11,55325
2017-08-25,'000001,平安银行,11.11,11.17,10.9,10.94,10.93,0.18,1.6468,0.5698,96394000,1068994547.06,1.90763270276e+11,1.87959060414e+11,33186
2017-08-24,'000001,平安银行,10.93,11.11,10.84,10.89,10.9,0.03,0.2752,0.5463,92424863,1014933651.98,1.8767259623e+11,1.84913819111e+11,34012
2017-08-23,'000001,平安银行,10.9,10.98,10.59,10.63,10.65,0.25,2.3474,0.7797,131915190,1430051908.04,1.87157483889e+11,1.84406278894e+11,41539
2017-08-22,'000001,平安银行,10.65,10.66,10.37,10.48,10.46,0.19,1.8164,0.5176,87568181,922881865.79,1.82864881048e+11,1.80176777085e+11,29332
